Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2019-01-02,27.62,28.03,27.6,27.91,0.35,27.9,1973.0,2775.0
2019-01-03,28.04,28.16,27.98,28.14,0.28,28.18,351.0,1339.0
2019-01-04,28.22,28.45,28.22,28.4,0.23,28.41,660.0,1213.0
2019-01-07,28.47,28.55,28.26,28.26,0.15,28.26,230.0,972.0
2019-01-08,28.31,28.36,28.01,28.18,0.08,28.18,925.0,899.0
2019-01-09,28.36,28.36,28.32,28.34,0.14,28.32,180.0,379.0
2019-01-10,28.04,28.04,27.88,27.94,0.38,27.94,49.0,171.0
2019-01-11,28.1,28.16,28.1,28.16,0.23,28.17,363.0,120.0
2019-01-14,,,28.02,28.05,0.06,28.11,140.0,84.0
2019-01-15,28.42,28.52,28.19,28.29,0.16,28.24,45989.0,212089.0
2019-01-16,28.32,28.44,28.13,28.23,0.01,28.23,34086.0,209962.0
2019-01-17,28.23,28.79,28.15,28.76,0.54,28.77,44088.0,210728.0
2019-01-18,28.74,29.08,28.66,29.02,0.24,29.01,48207.0,212952.0
2019-01-22,29.19,29.23,28.76,29.07,0.05,29.06,51630.0,210829.0
2019-01-23,29.19,29.42,29.09,29.38,0.32,29.38,52649.0,208460.0
2019-01-24,29.42,29.54,29.17,29.55,0.13,29.51,40579.0,202632.0
2019-01-25,29.55,30.05,29.47,30.03,0.52,30.03,61326.0,201335.0
2019-01-28,30.02,30.32,29.9,30.26,0.27,30.3,51523.0,197680.0
2019-01-29,30.27,30.29,29.98,29.85,0.19,30.11,50534.0,192220.0
2019-01-30,30.12,30.44,30.07,30.31,0.31,30.42,46388.0,190646.0
2019-01-31,30.41,30.48,30.13,30.25,0.25,30.17,55100.0,192630.0
2019-02-01,30.39,30.62,29.81,29.87,0.28,29.89,78404.0,189059.0
2019-02-04,29.91,30.16,29.65,30.13,0.24,30.13,49472.0,183082.0
2019-02-05,30.13,30.39,29.94,30.33,0.25,30.38,40426.0,181144.0
2019-02-06,30.37,30.91,30.28,30.8,0.52,30.9,73318.0,177901.0
2019-02-07,30.78,31.01,30.68,30.85,0.09,30.81,72584.0,167981.0
2019-02-08,30.84,30.95,30.46,30.87,0.06,30.87,69591.0,156624.0
2019-02-11,30.86,30.87,30.15,30.25,0.63,30.24,73353.0,150143.0
2019-02-12,30.2,30.47,30.07,30.25,0.09,30.33,67572.0,137333.0
2019-02-13,30.27,30.39,29.95,30.01,0.34,29.99,94036.0,125128.0
2019-02-14,29.98,30.16,29.81,29.92,0.1,29.89,54202.0,110570.0
2019-02-15,29.87,30.06,29.67,29.97,0.06,29.95,29507.0,97005.0
2019-02-19,29.96,30.25,29.71,29.8,0.21,29.74,48380.0,93383.0
2019-02-20,29.74,30.04,29.62,29.98,0.22,29.96,66569.0,81941.0
2019-02-21,30.0,30.66,29.9,30.52,0.53,30.49,64128.0,62026.0
2019-02-22,30.48,30.55,30.3,30.53,0.02,30.51,35459.0,50971.0
2019-02-25,30.62,30.81,30.32,30.35,0.15,30.36,51624.0,44864.0
2019-02-26,30.44,30.44,29.83,30.14,0.27,30.09,40494.0,27518.0
2019-02-27,30.12,30.19,29.76,29.85,0.29,29.8,25732.0,12901.0
2019-02-28,29.86,30.03,29.82,29.96,0.16,29.96,5192.0,4116.0
2019-03-01,29.96,30.32,29.87,29.9,0.01,29.95,3772.0,2909.0
2019-03-04,29.99,30.08,29.8,29.8,0.17,29.78,1757.0,2269.0
2019-03-05,,,29.54,29.74,0.05,29.73,1258.0,1679.0
2019-03-06,29.74,29.8,29.5,29.53,0.22,29.51,1294.0,1143.0
2019-03-07,29.55,29.55,29.25,29.35,0.1,29.41,538.0,683.0
2019-03-08,29.3,29.32,29.22,29.32,0.02,29.39,693.0,609.0
2019-03-11,29.41,29.5,29.27,29.46,0.01,29.4,487.0,525.0
2019-03-12,29.47,29.79,29.47,29.77,0.38,29.78,315.0,251.0
2019-03-13,,,29.58,29.62,0.09,29.69,1.0,156.0
2019-03-14,,,29.42,29.42,0.29,29.4,13.0,0.0
2019-03-15,29.57,29.69,29.38,29.47,0.14,29.43,56897.0,205012.0
2019-03-18,29.47,29.53,29.28,29.46,0.01,29.44,36980.0,203457.0
2019-03-19,29.51,29.51,29.15,29.3,0.2,29.24,47737.0,203911.0
2019-03-20,29.29,29.4,29.2,29.27,0.03,29.27,41009.0,207141.0
2019-03-21,29.32,29.47,29.08,29.2,0.17,29.1,47307.0,201459.0
2019-03-22,29.12,29.19,28.6,28.61,0.44,28.66,61597.0,201149.0
2019-03-25,28.65,28.89,28.54,28.79,0.16,28.82,49439.0,198785.0
2019-03-26,28.82,28.85,28.58,28.64,0.17,28.65,47723.0,195179.0
2019-03-27,28.65,28.84,28.52,28.83,0.17,28.82,64161.0,188923.0
2019-03-28,28.83,28.84,28.6,28.69,0.19,28.63,38961.0,181829.0
2019-03-29,28.62,28.72,28.34,28.36,0.27,28.36,49144.0,176865.0
2019-04-01,28.37,28.63,28.37,28.63,0.21,28.57,54197.0,174094.0
2019-04-02,28.57,28.98,28.53,28.97,0.39,28.96,46514.0,171185.0
2019-04-03,28.94,29.07,28.74,28.8,0.16,28.8,41147.0,167493.0
2019-04-04,28.74,29.25,28.74,29.28,0.4,29.2,66312.0,166869.0
2019-04-05,29.2,29.4,29.06,29.14,0.05,29.15,49957.0,160092.0
2019-04-08,29.15,29.15,28.78,28.95,0.27,28.88,59386.0,153447.0
2019-04-09,28.92,29.14,28.78,29.03,0.16,29.04,68584.0,144889.0
2019-04-10,29.02,29.11,28.81,29.09,0.03,29.07,45795.0,127952.0
2019-04-11,29.02,29.07,28.87,29.0,0.09,28.98,70931.0,116995.0
2019-04-12,28.97,29.13,28.9,28.93,0.03,28.95,28875.0,104278.0
2019-04-15,28.93,29.01,28.76,28.8,0.14,28.81,48900.0,99386.0
2019-04-16,28.75,28.79,28.59,28.74,0.09,28.72,43501.0,98197.0
2019-04-17,28.72,28.94,28.45,28.55,0.26,28.46,72374.0,86225.0
2019-04-18,28.47,28.83,28.4,28.81,0.34,28.8,62086.0,74626.0
2019-04-22,28.8,28.84,28.62,28.7,0.1,28.7,60818.0,68849.0
2019-04-23,28.69,28.75,27.99,28.25,0.64,28.06,58828.0,60960.0
2019-04-24,28.12,28.24,27.88,28.0,0.14,27.92,34067.0,53181.0
2019-04-25,27.91,28.0,27.57,27.59,0.28,27.64,31816.0,41792.0
2019-04-26,27.6,27.64,27.2,27.55,0.12,27.52,53011.0,36100.0
2019-04-29,27.57,27.96,27.42,27.89,0.36,27.88,37117.0,17411.0
2019-04-30,27.87,28.02,27.55,27.6,0.3,27.58,6681.0,6271.0
2019-05-01,27.69,27.69,27.29,27.4,0.2,27.38,4330.0,3653.0
2019-05-02,27.42,27.42,26.91,27.15,0.15,27.23,2167.0,1946.0
2019-05-03,27.12,27.21,27.08,27.08,0.16,27.07,1447.0,1444.0
2019-05-06,26.63,26.9,26.3,26.89,0.23,26.84,680.0,1176.0
2019-05-07,26.97,26.97,26.8,26.8,0.03,26.81,597.0,749.0
