Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest
2019-01-02,1.682,1.7482,1.6436,1.7006,,1.7052,8642.0,6378.0
2019-01-03,1.6858,1.7463,1.6813,1.742,0.0414,1.7232,7855.0,6128.0
2019-01-04,1.7277,1.803,1.7277,1.7692,0.0272,1.7757,8012.0,5891.0
2019-01-07,1.782,1.8239,1.7772,1.7784,0.0092,1.8031,9728.0,5735.0
2019-01-08,1.7896,1.8277,1.7812,1.827,0.0486,1.8107,5666.0,5323.0
2019-01-09,1.8359,1.8877,1.8255,1.8808,0.0538,1.8601,8984.0,4926.0
2019-01-10,1.8717,1.9094,1.8613,1.9061,0.0253,1.8875,9209.0,4799.0
2019-01-11,1.8963,1.9226,1.8729,1.8797,-0.0264,1.892,6451.0,4693.0
2019-01-14,1.8961,1.9032,1.8495,1.8525,-0.0272,1.8795,9525.0,4237.0
2019-01-15,1.8655,1.8787,1.8505,1.8722,0.0197,1.8643,7683.0,3889.0
2019-01-16,1.87,1.8972,1.8596,1.8946,0.0224,1.8794,7118.0,3515.0
2019-01-17,1.8843,1.8915,1.8535,1.8843,-0.0103,1.872,4531.0,2908.0
2019-01-18,1.8913,1.9226,1.8826,1.916,0.0317,1.9067,4839.0,2894.0
2019-01-21,1.917,1.9262,1.9088,1.9211,0.0051,1.9204,472.0,2378.0
2019-01-22,1.9168,1.9168,1.8701,1.9011,-0.02,1.8868,2981.0,2399.0
2019-01-23,1.9024,1.9209,1.869,1.8886,-0.0125,1.8923,5908.0,1907.0
2019-01-24,1.8785,1.8978,1.8661,1.8856,-0.003,1.8857,3872.0,2284.0
2019-01-25,1.9034,1.9034,1.877,1.8919,0.0063,1.8866,3218.0,2297.0
2019-01-28,1.8664,1.8691,1.8346,1.8377,-0.0542,1.8479,4947.0,1992.0
2019-01-29,1.8502,1.9037,1.8502,1.8975,0.0598,1.8899,1682.0,1779.0
2019-01-30,1.8903,1.9186,1.8895,1.8969,0.0024,1.9058,13514.0,4921.0
2019-01-31,1.9072,1.9295,1.8726,1.8774,-0.0195,1.9073,8766.0,4828.0
2019-02-01,1.877,1.9172,1.8621,1.9127,0.0353,1.8917,8189.0,4420.0
2019-02-04,1.9124,1.9374,1.8821,1.9074,-0.0053,1.903,7487.0,3669.0
2019-02-05,1.9123,1.922,1.8902,1.8975,-0.0099,1.902,5979.0,3725.0
2019-02-06,1.8981,1.9191,1.8759,1.9122,0.0147,1.9053,5610.0,3930.0
2019-02-07,1.906,1.9148,1.8689,1.9005,-0.0117,1.8931,7531.0,3601.0
2019-02-08,1.8971,1.9184,1.8829,1.9085,0.008,1.9058,7102.0,3679.0
2019-02-11,1.902,1.9213,1.8862,1.8922,-0.0163,1.8975,6566.0,3673.0
2019-02-12,1.8986,1.9355,1.895,1.9072,0.015,1.9195,8687.0,3491.0
2019-02-13,1.918,1.9529,1.9179,1.9388,0.0316,1.9378,9137.0,3182.0
2019-02-14,1.9467,1.9762,1.9327,1.9716,0.0328,1.9549,6654.0,3285.0
2019-02-15,1.9828,2.0237,1.9751,2.0203,0.0487,2.0064,6066.0,3397.0
2019-02-18,2.0293,2.0296,2.015,2.0207,0.0004,2.0208,1007.0,3458.0
2019-02-19,2.0168,2.0168,1.986,1.9946,-0.0261,1.9995,2799.0,3353.0
2019-02-20,1.9988,2.0258,1.9789,2.0183,0.0237,2.0025,1181.0,3228.0
2019-02-21,2.0217,2.0366,2.017,2.0363,0.018,2.0258,1581.0,3143.0
2019-02-22,2.0366,2.045,2.0283,2.0311,-0.0052,2.0354,1364.0,3408.0
2019-02-25,2.0378,2.038,1.9691,1.9746,-0.0565,1.9913,1420.0,3167.0
2019-02-26,1.9761,2.0095,1.9761,1.9985,0.0239,1.9972,732.0,3074.0
2019-02-27,2.0055,2.0331,1.9981,2.0221,0.024,2.023,6552.0,7372.0
2019-02-28,2.0238,2.0365,2.0056,2.0273,0.0052,2.0249,6646.0,7421.0
2019-03-01,2.0376,2.047,1.9795,2.001,-0.0263,2.0012,7518.0,7410.0
2019-03-04,2.0094,2.0375,1.9984,2.0143,0.0133,2.0169,7853.0,7134.0
2019-03-05,2.0101,2.0227,1.9913,2.0164,0.0021,2.0109,6509.0,6316.0
2019-03-06,2.0086,2.0253,2.0008,2.0162,-0.0002,2.0113,6065.0,6196.0
2019-03-07,2.0171,2.035,1.9991,2.0127,-0.0035,2.014,4886.0,6114.0
2019-03-08,2.0041,2.0041,1.9455,1.9998,-0.0129,1.9701,8022.0,5886.0
2019-03-11,1.9973,2.0137,1.9849,1.9942,-0.0056,1.9984,9416.0,5916.0
2019-03-12,1.9974,2.0151,1.9738,1.9857,-0.0085,1.9906,10319.0,6119.0
2019-03-13,1.9866,1.9996,1.9801,1.9921,0.0064,1.991,8448.0,6313.0
2019-03-14,1.9932,2.0042,1.9753,1.9849,-0.0072,1.9882,6234.0,5968.0
2019-03-15,1.9817,1.9946,1.948,1.9677,-0.0172,1.9655,4288.0,4884.0
2019-03-18,1.9678,1.9805,1.9526,1.969,0.0013,1.9674,6332.0,4779.0
2019-03-19,1.9736,1.9962,1.973,1.9904,0.0214,1.9865,3317.0,4297.0
2019-03-20,1.9891,2.0134,1.9761,2.0081,0.0177,1.9956,3501.0,4275.0
2019-03-21,2.01,2.01,1.9778,1.9871,-0.021,1.994,3989.0,4324.0
2019-03-22,1.9817,1.9817,1.9372,1.9659,-0.0212,1.955,4579.0,3753.0
2019-03-25,1.9621,1.9889,1.9569,1.9804,0.0145,1.9753,2126.0,3670.0
2019-03-26,1.9941,1.9977,1.9808,1.9899,0.0095,1.9892,1285.0,2520.0
2019-03-27,1.9809,1.9953,1.9716,1.9806,-0.0093,1.9861,681.0,2183.0
2019-03-28,1.9741,1.9744,1.9384,1.9707,-0.0107,1.9591,7277.0,4867.0
2019-03-29,1.9741,2.0006,1.9665,1.9714,0.0007,1.9772,5727.0,4780.0
2019-04-01,1.9737,2.001,1.9737,1.9881,0.0167,1.9862,6171.0,4718.0
2019-04-02,1.9894,2.0134,1.9857,2.0089,0.0208,2.0023,5765.0,4207.0
2019-04-03,2.0128,2.0217,1.9887,2.0068,-0.0021,2.0024,5866.0,3820.0
2019-04-04,2.0075,2.0288,1.9912,2.0134,0.0066,2.0156,6449.0,3766.0
2019-04-05,2.0103,2.0468,2.0023,2.0424,0.029,2.0277,5345.0,3671.0
2019-04-08,2.0536,2.063,2.0435,2.0571,0.0147,2.0552,6487.0,3534.0
2019-04-09,2.063,2.0642,2.0393,2.0449,-0.0122,2.0496,6653.0,3530.0
2019-04-10,2.0554,2.0897,2.0498,2.0876,0.0427,2.0697,9928.0,3420.0
2019-04-11,2.0797,2.0836,2.0599,2.0672,-0.0204,2.0721,7379.0,2820.0
2019-04-12,2.0731,2.0883,2.0658,2.0707,0.0035,2.0739,5913.0,2606.0
2019-04-15,2.0633,2.0665,2.0466,2.061,-0.0097,2.0596,4759.0,2725.0
2019-04-16,2.0617,2.0834,2.0511,2.0822,0.0212,2.0698,4427.0,2563.0
2019-04-17,2.0848,2.0919,2.067,2.0692,-0.013,2.0769,5956.0,2642.0
2019-04-18,2.067,2.0816,2.0643,2.0709,0.0017,2.0698,2109.0,2937.0
2019-04-22,2.0762,2.1236,2.0762,2.104,,2.107,2234.0,2989.0
2019-04-23,2.1153,2.1212,2.1081,2.118,0.014,2.1144,2500.0,2967.0
2019-04-24,2.1142,2.1144,2.0962,2.0987,-0.0193,2.1045,1717.0,2835.0
2019-04-25,2.0915,2.1148,2.0915,2.0981,-0.0006,2.1021,278.0,1722.0
2019-04-26,2.0913,2.0913,2.0235,2.0512,-0.0469,2.0443,450.0,1718.0
2019-04-29,2.044,2.0702,2.0308,2.0539,0.0017,2.0556,7871.0,6841.0
2019-04-30,2.0474,2.0935,2.0474,2.0779,0.024,2.0783,6295.0,6781.0
2019-05-01,2.0655,2.0972,2.0606,2.0942,0.0163,2.0809,7961.0,6673.0
2019-05-02,2.091,2.0917,2.0481,2.0778,-0.0164,2.069,12152.0,6294.0
2019-05-03,2.0726,2.0921,2.055,2.0702,-0.0076,2.0785,10679.0,5874.0
2019-05-06,2.0449,2.0873,2.0284,2.0676,-0.0026,2.0667,6350.0,5863.0
2019-05-07,2.0683,2.0704,2.0212,2.0376,-0.03,2.0398,7152.0,5750.0
2019-05-08,2.0407,2.0686,2.0282,2.0562,0.0186,2.0523,6702.0,5448.0
2019-05-09,2.0568,2.0591,2.0216,2.0436,-0.0126,2.0381,8115.0,5188.0
2019-05-10,2.0599,2.0645,2.0418,2.0504,0.0068,2.0517,6682.0,5017.0
2019-05-13,2.0497,2.1075,2.0275,2.0384,-0.012,2.0665,9349.0,4822.0
2019-05-14,2.0316,2.0685,2.0267,2.0589,0.0205,2.052,7035.0,4745.0
2019-05-15,2.0452,2.0951,2.0452,2.0863,0.0274,2.0778,5678.0,5111.0
2019-05-16,2.0939,2.1374,2.0922,2.1232,0.0369,2.1217,9522.0,4731.0
2019-05-17,2.1267,2.1291,2.0873,2.0955,-0.0277,2.105,6419.0,3564.0
2019-05-20,2.109,2.1152,2.069,2.0736,-0.0219,2.0856,5482.0,3553.0
2019-05-21,2.0776,2.0841,2.0657,2.0794,0.0058,2.0739,3992.0,3286.0
2019-05-22,2.0621,2.0701,2.0299,2.0491,-0.0303,2.0492,3017.0,3049.0
2019-05-23,2.0338,2.0375,1.9494,1.9624,-0.0867,1.9869,3064.0,3351.0
2019-05-24,1.9714,1.9879,1.9446,1.9713,0.0089,1.9676,1695.0,3151.0
2019-05-27,1.9868,2.0038,1.9721,2.0063,0.035,1.9858,323.0,3206.0
2019-05-28,2.0021,2.0202,1.9872,1.9925,-0.0138,2.0003,5011.0,3155.0
2019-05-29,1.9793,1.9802,1.9489,1.9675,-0.025,1.9621,2405.0,2685.0
2019-05-30,1.9718,1.981,1.911,1.9183,-0.051,1.9404,11283.0,4167.0
2019-05-31,1.9088,1.9111,1.8276,1.8404,-0.0779,1.8709,10061.0,4305.0
